,SecuCode,FirstIndustryCode
454,002256,22
455,002258,22
456,002263,22
457,002274,22
458,002319,22
459,002324,22
460,002326,22
461,002360,22
462,002361,22
463,002381,22
464,002382,22
465,002386,22
466,002391,22
467,002395,22
468,002407,22
469,002409,22
470,002411,22
471,002427,22
472,002440,22
473,002442,22
474,002450,22
475,002453,22
476,002455,22
477,002464,22
478,002470,22
479,002496,22
480,002497,22
481,002513,22
482,002522,22
483,002538,22
484,002539,22
485,002549,22
486,002556,22
487,002562,22
488,002581,22
489,002584,22
490,002585,22
491,002588,22
492,002591,22
493,002597,22
494,002601,22
495,002632,22
496,002637,22
497,002643,22
498,002666,22
499,002669,22
500,002683,22
501,002694,22
502,002709,22
503,002734,22
504,002748,22
505,002749,22
506,002768,22
507,002783,22
508,002802,22
509,002805,22
510,002809,22
511,002810,22
512,002827,22
513,002838,22
514,002855,22
515,002886,22
516,002895,22
517,002909,22
518,002915,22
519,002917,22
520,002919,22
521,300019,22
522,300037,22
523,300041,22
524,300054,22
525,300067,22
526,300072,22
527,300073,22
528,300082,22
529,300107,22
530,300108,22
531,300121,22
532,300132,22
533,300169,22
534,300174,22
535,300180,22
536,300192,22
537,300200,22
538,300214,22
539,300218,22
540,300221,22
541,300225,22
542,300230,22
543,300236,22
544,300243,22
545,300261,22
546,300285,22
547,300305,22
548,300320,22
549,300321,22
550,300325,22
551,300340,22
552,300343,22
553,300387,22
554,300398,22
555,300405,22
556,300429,22
557,300437,22
558,300459,22
559,300478,22
560,300481,22
561,300487,22
562,300505,22
563,300522,22
564,300530,22
565,300535,22
566,300537,22
567,300538,22
568,300539,22
569,300547,22
570,300568,22
571,300575,22
572,300576,22
573,300586,22
574,300587,22
575,300596,22
576,300599,22
577,300610,22
578,300641,22
579,300655,22
580,300665,22
581,300684,22
582,300690,22
583,300699,22
584,300716,22
585,300717,22
586,300721,22
587,300727,22
588,300740,22
589,600063,22
590,600074,22
591,600075,22
592,600078,22
593,600091,22
594,600096,22
595,600135,22
596,600141,22
597,600143,22
598,600155,22
599,600160,22
600,600226,22
601,600227,22
602,600228,22
603,600230,22
604,600249,22
605,600273,22
606,600277,22
607,600281,22
608,600299,22
609,600301,22
610,600309,22
611,600315,22
612,600319,22
613,600328,22
614,600352,22
615,600367,22
616,600389,22
617,600409,22
618,600423,22
619,600426,22
620,600444,22
621,600470,22
622,600486,22
623,600500,22
624,600538,22
625,600589,22
626,600596,22
627,600618,22
628,600636,22
629,600691,22
630,600722,22
631,600727,22
632,600731,22
633,600746,22
634,600796,22
635,600803,22
636,600810,22
637,600844,22
638,600889,22
639,600985,22
640,601163,22
641,601208,22
642,601216,22
643,601500,22
644,601678,22
645,601966,22
646,603002,22
647,603010,22
648,603033,22
649,603041,22
650,603067,22
651,603077,22
652,603078,22
653,603086,22
654,603110,22
655,603133,22
656,603181,22
657,603188,22
658,603225,22
659,603227,22
660,603266,22
661,603299,22
662,603330,22
663,603360,22
664,603378,22
665,603519,22
666,603580,22
667,603585,22
668,603599,22
669,603601,22
670,603605,22
671,603615,22
672,603630,22
673,603639,22
674,603683,22
675,603722,22
676,603737,22
677,603822,22
678,603823,22
679,603879,22
680,603906,22
681,603916,22
682,603928,22
683,603938,22
684,603968,22
685,603970,22
686,603977,22
687,603980,22
688,603991,22
689,000010,23
690,000018,23
691,000065,23
692,000090,23
693,000498,23
694,000628,23
695,000928,23
696,002047,23
697,002051,23
698,002060,23
699,002062,23
700,002081,23
701,002116,23
702,002135,23
703,002140,23
704,002178,23
705,002307,23
706,002310,23
707,002314,23
708,002325,23
709,002375,23
710,002398,23
711,002421,23
712,002431,23
713,002469,23
714,002482,23
715,002541,23
716,002542,23
717,002545,23
718,002586,23
719,002620,23
720,002628,23
721,002659,23
722,002663,23
723,002713,23
724,002717,23
725,002755,23
726,002775,23
727,002781,23
728,002789,23
729,002791,23
730,002811,23
731,002822,23
732,002830,23
733,002856,23
734,002883,23
735,002887,23
736,300044,23
737,300117,23
738,300197,23
739,300284,23
740,300300,23
741,300355,23
742,300483,23
743,300495,23
744,300500,23
745,300506,23
746,300517,23
747,300536,23
748,300592,23
749,300621,23
750,300649,23
751,300668,23
752,300712,23
753,600039,23
754,600068,23
755,600083,23
756,600170,23
757,600209,23
758,600248,23
759,600263,23
760,600284,23
761,600326,23
762,600477,23
763,600491,23
764,600496,23
765,600502,23
766,600512,23
767,600528,23
768,600545,23
769,600590,23
770,600610,23
771,600820,23
772,600846,23
773,600853,23
774,600939,23
775,600970,23
776,601117,23
777,601186,23
778,601226,23
779,601390,23
780,601611,23
781,601618,23
782,601668,23
783,601669,23
784,601789,23
785,601800,23
786,601886,23
787,603007,23
788,603017,23
789,603018,23
790,603030,23
791,603081,23
792,603098,23
793,603300,23
794,603316,23
795,603359,23
796,603388,23
797,603458,23
798,603466,23
799,603637,23
800,603717,23
801,603828,23
802,603843,23
803,603860,23
804,603887,23
805,603909,23
806,603929,23
807,603959,23
808,000012,24
809,000023,24
810,000055,24
811,000401,24
812,000509,24
813,000511,24
814,000546,24
815,000619,24
816,000672,24
817,000786,24
818,000789,24
819,000795,24
820,000877,24
821,000885,24
822,000935,24
823,002043,24
824,002066,24
825,002080,24
826,002088,24
827,002102,24
828,002162,24
829,002163,24
830,002192,24
831,002201,24
832,002205,24
833,002225,24
834,002233,24
835,002271,24
836,002302,24
837,002333,24
838,002346,24
839,002372,24
840,002392,24
841,002457,24
842,002596,24
843,002613,24
844,002619,24
845,002623,24
846,002641,24
847,002671,24
848,002718,24
849,002742,24
850,002785,24
851,002798,24
852,002918,24
853,300021,24
854,300064,24
855,300093,24
856,300160,24
857,300163,24
858,300179,24
859,300196,24
860,300198,24
861,300234,24
862,300344,24
863,300345,24
864,300374,24
865,300409,24
866,300706,24
867,300715,24
868,300737,24
869,600172,24
870,600176,24
871,600293,24
872,600321,24
873,600425,24
874,600449,24
875,600516,24
876,600539,24
877,600552,24
878,600585,24
879,600586,24
880,600629,24
881,600678,24
882,600720,24
883,600753,24
884,600783,24
885,600801,24
886,600802,24
887,600819,24
888,600876,24
889,600881,24
890,600883,24
891,601636,24
892,603038,24
893,603268,24
894,603385,24
895,603505,24
896,603616,24
897,603725,24
898,603826,24
899,603838,24
900,000488,25
901,000576,25
902,000659,25
903,000815,25
904,000833,25
905,000910,25
906,002012,25
907,002014,25
908,002067,25
909,002078,25
910,002084,25
